School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap
610357,Spry Community Links High School,HS,41.847762,-87.698946,80.0,63.2,0,16.799999999999997
610380,Daniel Hale Williams Prep School of Medicine,HS,41.806118,-87.62503,95.0,64.7,821,30.299999999999997
610384,Infinity Math Science and Technology High School,HS,41.836169,-87.735278,88.5,58.2,923,30.299999999999997
610383,Greater Lawndale High School For Social Justice,HS,41.833507,-87.735299,70.2,62.2,833,8.0
610385,Multicultural Arts High School,HS,41.835282,-87.735283,56.8,44.7,845,12.099999999999994
610390,Hyman G Rickover Naval Academy High School,HS,41.957599,-87.769938,93.7,69.1,923,24.60000000000001
610389,Orr Academy High School,HS,41.894449,-87.726166,55.4,44.4,801,11.0
610392,World Language Academy High School,HS,41.834397,-87.735292,75.8,69.2,883,6.599999999999994
610391,Robert Lindblom Math & Science Academy HS,HS,41.782041,-87.671662,92.2,83.1,"1,046",9.100000000000009
610394,Uplift Community High School,HS,41.965547,-87.652473,61.5,41.2,742,20.299999999999997
610499,Collins Academy STEAM High School,HS,41.864149,-87.702042,72.5,48.0,768,24.5
610513,Air Force Academy High School,HS,41.828145,-87.632757,78.4,66.7,859,11.700000000000003
610518,Austin College and Career Academy High School,HS,41.885993,-87.761916,45.8,33.3,745,12.5
610524,Louisa May Alcott College Preparatory HS,HS,41.935795,-87.680562,92.1,61.6,888,30.499999999999993
610543,Eric Solorio Academy High School,HS,41.795201,-87.711059,87.4,65.5,923,21.900000000000006
610529,Ogden International High School,HS,41.893548,-87.659405,90.0,82.8,952,7.200000000000003
610547,South Shore Intl College Prep High School,HS,41.758792,-87.576353,80.2,72.0,901,8.200000000000003
610558,Sarah E. Goode STEM Academy,HS,41.75375,-87.707345,90.7,60.3,809,30.400000000000006
610561,Richard T Crane Medical Preparatory HS,HS,41.876947,-87.683301,82.8,54.2,827,28.599999999999994
610564,Disney II Magnet High School,HS,41.952488,-87.721364,94.8,70.1,948,24.700000000000003
610563,Back of the Yards IB High School,HS,41.808413,-87.677541,93.8,81.1,964,12.700000000000003
610565,Excel Academy of Englewood,HS,41.763896,-87.649124,7.7,12.8,709,-5.1000000000000005
610570,Ombudsman Chicago - South,HS,41.783027,-87.683635,7.1,15.7,764,-8.6
610587,Walter Henri Dyett High School for the Arts,HS,41.801204,-87.612239,86.9,55.6,812,31.300000000000004
