School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap,geometry,GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,disadvantage_score
609718,John F Kennedy High School,HS,41.789961,-87.78084,79.4,71.9,894,7.5,POINT (-87.78084 41.789961),17031561100,Census Tract 5611; Cook County; Illinois,0.0132997843278217,11.55097241260713,0.0250268144440471,0.1244299674267101,0.7735849056603774,-0.9327087420690752
609719,Lake View High School,HS,41.954764,-87.668953,86.5,62.3,893,24.200000000000003,POINT (-87.668953 41.954764),17031060100,Census Tract 601; Cook County; Illinois,0.0352331606217616,11.969824857526378,0.0223144784639335,0.0712074303405572,0.337719298245614,-2.1716548740021606
609720,Albert G Lane Technical High School,HS,41.946645,-87.691013,97.4,90.9,"1,256",6.5,POINT (-87.691013 41.946645),17031843700,Census Tract 8437; Cook County; Illinois,0.0526518063028439,11.920767745364143,0.0363180964308077,0.0,0.3036529680365297,-2.2314088372079346
609722,Manley Career Academy High School,HS,41.870939,-87.699896,45.5,10.0,716,35.5,POINT (-87.699896 41.870939),17031271800,Census Tract 2718; Cook County; Illinois,0.1610337972166998,11.411235980601818,0.1216216216216216,0.6589861751152074,0.4360189573459715,1.63655103716745
609723,John Marshall Metropolitan High School,HS,41.878444,-87.70805,67.9,32.1,740,35.800000000000004,POINT (-87.70805 41.878444),17031271300,Census Tract 2713; Cook County; Illinois,0.2938090241343127,10.72520383389078,0.102787456445993,0.2548262548262548,0.8326848249027238,2.179742013321846
609724,Stephen T Mather High School,HS,41.987589,-87.702496,86.3,70.8,916,15.5,POINT (-87.702496 41.987589),17031020701,Census Tract 207.01; Cook County; Illinois,0.0831447963800905,11.595131983761206,0.0443974630021141,0.0,0.358267716535433,-1.618143010408947
609725,Morgan Park High School,HS,41.692035,-87.665658,78.0,74.9,810,3.0999999999999943,POINT (-87.665658 41.692035),17031750500,Census Tract 7505; Cook County; Illinois,0.2240672006251221,11.042921835724492,0.1600169779286927,0.1221303948576675,0.6276276276276276,1.1732979096037828
609726,Gwendolyn Brooks College Preparatory Academy HS,HS,41.692763,-87.616353,91.0,65.5,"1,111",25.5,POINT (-87.616353 41.692763),17031490901,Census Tract 4909.01; Cook County; Illinois,0.4311094996374184,10.416251296932378,0.2830336200156372,0.3880368098159509,0.663594470046083,4.450155697970422
609727,Wendell Phillips Academy High School,HS,41.82388,-87.619796,72.2,61.8,764,10.400000000000006,POINT (-87.619796 41.82388),17031839600,Census Tract 8396; Cook County; Illinois,0.2107164358819988,11.12876186028198,0.1773399014778325,0.1304347826086956,0.5534188034188035,1.046193950108875
609728,Theodore Roosevelt High School,HS,41.964828,-87.714819,75.7,55.6,841,20.1,POINT (-87.714819 41.964828),17031140702,Census Tract 1407.02; Cook County; Illinois,0.0626953125,11.24363325763004,0.0392042129900526,0.114409847936278,0.4031791907514451,-0.946498172485634
609729,Carl Schurz High School,HS,41.946365,-87.735612,80.4,62.5,852,17.900000000000006,POINT (-87.735612 41.946365),17031161100,Census Tract 1611; Cook County; Illinois,0.0646551724137931,11.916535520197913,0.0665669409124906,0.0856697819314641,0.3051470588235294,-1.6990744629780723
609730,Nicholas Senn High School,HS,41.989029,-87.667136,85.0,75.2,933,9.799999999999995,POINT (-87.667136 41.989029),17031030500,Census Tract 305; Cook County; Illinois,0.0603070175438596,11.752375342558748,0.0371778622729193,0.0952380952380952,0.23,-1.8399093512376412
609732,Charles P Steinmetz College Preparatory HS,HS,41.935634,-87.783515,75.5,63.0,833,12.5,POINT (-87.783515 41.935634),17031190401,Census Tract 1904.01; Cook County; Illinois,0.0930414386239249,11.652687407345388,0.0544715447154471,0.1949685534591195,0.6489795918367347,-0.4724949864557697
609733,Roger C Sullivan High School,HS,42.002688,-87.669192,69.0,51.7,878,17.299999999999997,POINT (-87.669192 42.002688),17031830600,Census Tract 8306; Cook County; Illinois,0.1620519424769264,11.091315730913552,0.1255520504731861,0.1384120171673819,0.396835057821059,0.2908072331356555
609734,William Howard Taft High School,HS,41.982961,-87.791547,92.0,72.5,965,19.5,POINT (-87.791547 41.982961),17031100300,Census Tract 1003; Cook County; Illinois,0.0826683689754229,11.466263534503998,0.0051338467180051,0.0070332480818414,0.5479603087100331,-1.4158490270621944
609735,Edward Tilden Career Community Academy HS,HS,41.80751,-87.642966,61.8,35.0,800,26.799999999999997,POINT (-87.642966 41.80751),17031843800,Census Tract 8438; Cook County; Illinois,0.1862244897959183,10.982679140964631,0.1212121212121212,0.3034934497816594,0.2267441860465116,0.7198256407438968
609737,Friedrich W Von Steuben Metropolitan Science HS,HS,41.973185,-87.713386,93.9,76.0,"1,025",17.900000000000006,POINT (-87.713386 41.973185),17031831800,Census Tract 8318; Cook County; Illinois,0.1974730931211979,11.3790511564139,0.0417047184170471,0.3947368421052631,0.3885754583921015,0.3831913919962991
609738,Lincoln Park High School,HS,41.918268,-87.646009,79.4,88.5,"1,081",-9.099999999999994,POINT (-87.646009 41.918268),17031071200,Census Tract 712; Cook County; Illinois,0.1131531531531531,11.785872000711564,0.0901594282572842,0.0246085011185682,0.4297269969666329,-1.1804693477414665
609739,George Washington High School,HS,41.688137,-87.53757,88.3,63.0,866,25.299999999999997,POINT (-87.53757 41.688137),17031520600,Census Tract 5206; Cook County; Illinois,0.121716611172771,11.2307879927738,0.0600500417014178,0.0847201210287443,0.5265700483091788,-0.42430489692148
609740,Wells Community Academy High School,HS,41.898995,-87.667483,78.5,50.8,768,27.700000000000003,POINT (-87.667483 41.898995),17031242100,Census Tract 2421; Cook County; Illinois,0.0588080168776371,12.298583456208933,0.0258732212160414,0.1623376623376623,0.4458380843785632,-1.91688788363719
